year,geo_name,geo,median_property_value,median_property_value_moe
2014,"Chittenden County, VT","05000US50007",269500.0,3227.0
2013,"Tuolumne County","05000US06109",269400.0,10058.0
2013,"Clear Creek County","05000US08019",268500.0,15765.0
2014,"Orange County, NY","05000US36071",268500.0,2241.0
2014,"Benton County","05000US41003",268400.0,5838.0
2013,"Kitsap County, WA","05000US53035",268200.0,3921.0
2013,"Ocean County, NJ","05000US34029",268100.0,1788.0
2013,"Virginia Beach city, VA","05000US51810",267600.0,1881.0
2013,"Chittenden County, VT","05000US50007",267500.0,3281.0
2015,"Forsyth County, GA","05000US13117",267300.0,4545.0
2014,"Douglas County","05000US32005",267200.0,10059.0
2014,"Jefferson County, CO","05000US08059",267200.0,1556.0
2015,"Carver County","05000US27019",267000.0,4214.0
2015,"Morgan County","05000US49029",266400.0,11696.0
2014,"Chaffee County","05000US08015",265700.0,12634.0
2013,"Ketchikan Gateway Borough","05000US02130",265600.0,9757.0
2014,"Morgan County","05000US49029",265400.0,12163.0
2015,"Hampshire County, MA","05000US25015",265400.0,3136.0
2014,"Carver County","05000US27019",264900.0,5419.0
2014,"Hinsdale County","05000US08053",264800.0,31631.0
2013,"Carver County","05000US27019",264700.0,4851.0
2013,"Morgan County","05000US49029",264400.0,11804.0
2014,"Archuleta County","05000US08007",264300.0,18421.0
2015,"Archuleta County","05000US08007",264200.0,16744.0
2014,"Ocean County, NJ","05000US34029",264100.0,2166.0
2014,"Mathews County","05000US51115",263700.0,39800.0
2013,"Litchfield County, CT","05000US09005",263600.0,3557.0
2014,"Solano County, CA","05000US06095",263600.0,3263.0
