year,geo_name,geo,hiv_prevalence_rate
2016,"Stafford County","05000US20185",None
2017,"Smith County","05000US20183",None
2015,"Smith County","05000US20183",None
2016,"Yakutat City and Borough","05000US02282",None
2017,"Yakutat City and Borough","05000US02282",None
2016,"Smith County","05000US20183",None
2016,"Sherman County","05000US20181",None
2017,"Sherman County","05000US20181",None
2015,"Sherman County","05000US20181",None
2015,None,"05000US02280",None
2016,None,"05000US02280",None
2015,"Sheridan County","05000US20179",None
2016,"Sheridan County","05000US20179",None
2017,"Valdez-Cordova Census Area","05000US02261",None
2015,"Valdez-Cordova Census Area","05000US02261",None
2016,"Valdez-Cordova Census Area","05000US02261",None
2017,"Sheridan County","05000US20179",None
2015,"Floyd County","05000US19067",None
2017,"Floyd County","05000US19067",None
2016,"Floyd County","05000US19067",None
2017,"Scott County","05000US20171",None
2016,"Scott County","05000US20171",None
2015,"Scott County","05000US20171",None
2017,"Russell County","05000US20167",None
2015,"Russell County","05000US20167",None
2016,"Russell County","05000US20167",None
2017,"Rush County","05000US20165",None
2016,"Rush County","05000US20165",None
2016,None,"05000US02232",None
2015,"Rush County","05000US20165",None
2015,"Rooks County","05000US20163",None
2016,"Rooks County","05000US20163",None
2017,"Rooks County","05000US20163",None
2016,None,"05000US02201",None
2015,None,"05000US02201",None
2015,"Northwest Arctic Borough","05000US02188",None
2017,"Northwest Arctic Borough","05000US02188",None
2016,"Northwest Arctic Borough","05000US02188",None
2016,"North Slope Borough","05000US02185",None
2015,"Rice County","05000US20159",None
2016,"Rice County","05000US20159",None
2017,"Rice County","05000US20159",None
2016,"Republic County","05000US20157",None
2017,"Republic County","05000US20157",None
2015,"Republic County","05000US20157",None
2017,"North Slope Borough","05000US02185",None
2015,"North Slope Borough","05000US02185",None
2015,"Nome Census Area","05000US02180",None
2017,"Rawlins County","05000US20153",None
2015,"Rawlins County","05000US20153",None
2016,"Rawlins County","05000US20153",None
2016,"Pratt County","05000US20151",None
2015,"Pratt County","05000US20151",None
2017,"Pratt County","05000US20151",None
2017,"Phillips County","05000US20147",None
2016,"Nome Census Area","05000US02180",None
2016,"Phillips County","05000US20147",None
2015,"Phillips County","05000US20147",None
2017,"Pawnee County","05000US20145",None
2016,"Pawnee County","05000US20145",None
2015,"Pawnee County","05000US20145",None
2016,"Ottawa County","05000US20143",None
2017,"Ottawa County","05000US20143",None
2017,"Nome Census Area","05000US02180",None
2016,"Lake and Peninsula Borough","05000US02164",None
2017,"Lake and Peninsula Borough","05000US02164",None
2015,"Ottawa County","05000US20143",None
2015,"Osborne County","05000US20141",None
2016,"Osborne County","05000US20141",None
2017,"Osborne County","05000US20141",None
2017,"Norton County","05000US20137",None
2015,"Ness County","05000US20135",None
2017,"Ness County","05000US20135",None
2016,"Ness County","05000US20135",None
2016,"Neosho County","05000US20133",None
2017,"Neosho County","05000US20133",None
2015,"Neosho County","05000US20133",None
2015,"Nemaha County","05000US20131",None
